detuning_frac,detuning,robust_fidelity,baseline_fidelity
-0.08000000,-1.00530965e+03,0.35710680,0.02322791
-0.07200000,-9.04778684e+02,0.41830093,0.04009349
-0.06400000,-8.04247719e+02,0.48756674,0.08504736
-0.05600000,-7.03716754e+02,0.56344754,0.16106370
-0.04800000,-6.03185789e+02,0.64364207,0.26913267
-0.04000000,-5.02654825e+02,0.72483337,0.40610257
-0.03200000,-4.02123860e+02,0.80253994,0.56244296
-0.02400000,-3.01592895e+02,0.87119770,0.72149336
-0.01600000,-2.01061930e+02,0.92464226,0.86122328
-0.00800000,-1.00530965e+02,0.95704538,0.95847964
0.00000000,0.00000000e+00,0.96412992,0.99465168
0.00800000,1.00530965e+02,0.94425273,0.96105665
0.01600000,2.01061930e+02,0.89897418,0.86198175
0.02400000,3.01592895e+02,0.83284247,0.71408784
0.03200000,4.02123860e+02,0.75245446,0.54216808
0.04000000,5.02654825e+02,0.66508323,0.37273172
0.04800000,6.03185789e+02,0.57733357,0.22764847
0.05600000,7.03716754e+02,0.49417093,0.11985959
0.06400000,8.04247719e+02,0.41853184,0.05227496
0.07200000,9.04778684e+02,0.35147646,0.01960696
0.08000000,1.00530965e+03,0.29270530,0.01190741
