detuning_frac,detuning,robust_fidelity
-0.08000000,-1.00530965e-03,0.71751302
-0.07200000,-9.04778684e-04,0.75930029
-0.06400000,-8.04247719e-04,0.79782957
-0.05600000,-7.03716754e-04,0.83276236
-0.04800000,-6.03185789e-04,0.86393440
-0.04000000,-5.02654825e-04,0.89117533
-0.03200000,-4.02123860e-04,0.91416991
-0.02400000,-3.01592895e-04,0.93250549
-0.01600000,-2.01061930e-04,0.94593590
-0.00800000,-1.00530965e-04,0.95466512
0.00000000,0.00000000e+00,0.95938039
0.00800000,1.00530965e-04,0.96093339
0.01600000,2.01061930e-04,0.95986271
0.02400000,3.01592895e-04,0.95602143
0.03200000,4.02123860e-04,0.94852614
0.04000000,5.02654825e-04,0.93594927
0.04800000,6.03185789e-04,0.91658461
0.05600000,7.03716754e-04,0.88864994
0.06400000,8.04247719e-04,0.85048783
0.07200000,9.04778684e-04,0.80094659
0.08000000,1.00530965e-03,0.73995918
