detuning_frac,detuning,robust_fidelity
-0.08000000,-1.00530965e-03,0.29761383
-0.07200000,-9.04778684e-04,0.36418563
-0.06400000,-8.04247719e-04,0.43953294
-0.05600000,-7.03716754e-04,0.52263969
-0.04800000,-6.03185789e-04,0.61132991
-0.04000000,-5.02654825e-04,0.70179796
-0.03200000,-4.02123860e-04,0.78847760
-0.02400000,-3.01592895e-04,0.86454940
-0.01600000,-2.01061930e-04,0.92309296
-0.00800000,-1.00530965e-04,0.95853424
0.00000000,0.00000000e+00,0.96782053
0.00800000,1.00530965e-04,0.95089829
0.01600000,2.01061930e-04,0.91037661
0.02400000,3.01592895e-04,0.85064614
0.03200000,4.02123860e-04,0.77687997
0.04000000,5.02654825e-04,0.69420743
0.04800000,6.03185789e-04,0.60717648
0.05600000,7.03716754e-04,0.51940113
0.06400000,8.04247719e-04,0.43338346
0.07200000,9.04778684e-04,0.35053727
0.08000000,1.00530965e-03,0.27154168
